date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2022-12-02,0.0018789552365492252,0.0,0.0018789552365492252,0.0,0.007299334844246408,-0.005420379607697184,0.5,-0.5,1.0,-0.18223015465864956,-0.2037320219377573,-0.2148609752800823
2022-12-05,-0.005828872685207957,0.0,-0.005828872685207957,0.0,-0.016306474322022188,0.010477601636814233,0.5,-0.5,1.0,-0.1869968309729465,-0.20837336660519,-0.21943745069536302
2022-12-06,0.006532773404089285,0.00037804878048780483,0.00615472462360148,0.7560975609756098,-0.006284836165371787,0.012817609569461073,0.5,-0.5,1.0,-0.18168566549288634,-0.2035011226719362,-0.21463330315289664
2022-12-07,-0.0007707406146582472,0.0,-0.0007707406146582472,0.0,-0.0008537884484521633,8.304783379391601e-05,0.5,-0.5,1.0,-0.18231637358604802,-0.20411501670622256,-0.21523861716355652
2022-12-08,-0.0003371259690030284,0.0,-0.0003371259690030284,0.0,0.0003000039022214466,-0.0006371298712244752,0.5,-0.5,1.0,-0.18259203597094076,-0.2043833302024305,-0.21550318060518148
2022-12-09,-0.003272477249057745,0.0,-0.003272477249057745,0.0,-0.005377106092965013,0.0021046288439072677,0.5,-0.5,1.0,-0.18526698493642446,-0.20698696765331415,-0.21807042859860926
2022-12-12,-0.005314018122820359,0.0,-0.005314018122820359,0.0,0.006355554439252747,-0.011669572562073106,0.5,-0.5,1.0,-0.18959649094373243,-0.2112010532788372,-0.2222256165118054
2022-12-13,0.002321421375246666,0.0,0.002321421375246666,0.0,-0.011247384294893206,0.01356880567013987,0.5,-0.5,1.0,-0.18771520291523425,-0.20936991854314657,-0.2204200744328566
2022-12-14,-0.0009468478955835722,0.0,-0.0009468478955835722,0.0,-0.0046857422198763364,0.0037388943242927645,0.5,-0.5,1.0,-0.18848431306596847,-0.21011852497195904,-0.22115821804481905
2022-12-15,0.0007651940319736809,0.0,0.0007651940319736809,0.0,-0.006652676390494719,0.0074178704224684006,0.5,-0.5,1.0,-0.1878633461054735,-0.20951411238130102,-0.22056225296141518
2022-12-16,0.002499738552673258,0.0,0.002499738552673258,0.0,0.002568079288099935,-6.834073542667774e-05,0.5,-0.5,1.0,-0.1858332168016943,-0.2075381043326764,-0.218613862375734
2022-12-19,0.0018486267483283027,0.0,0.0018486267483283027,0.0,-0.006950129121870159,0.00879875587019846,0.5,-0.5,1.0,-0.18432812630867357,-0.2060731380753149,-0.2171693710609489
2022-12-20,0.0014849700296478202,0.0,0.0014849700296478202,0.0,0.0075265397066402555,-0.006041569676992435,0.5,-0.5,1.0,-0.18311687802221532,-0.2048941804796245,-0.2160068910386842
2022-12-21,-0.0011431287549425952,0.0,-0.0011431287549425952,0.0,0.002922349684148127,-0.004065478439090723,0.5,-0.5,1.0,-0.18405068060837537,-0.20580308880514042,-0.21690309610521463
2022-12-22,0.0033219486503199176,0.0,0.0033219486503199176,0.0,-0.0009785151703622927,0.004300463820682211,0.5,-0.5,1.0,-0.18134013886809286,-0.20316480744790832,-0.2143016884022516
2022-12-23,-0.0004906440343217535,0.0,-0.0004906440343217535,0.0,0.0013650211426951499,-0.0018556651770169034,0.5,-0.5,1.0,-0.18174180944509588,-0.20355576988147162,-0.21468718659161368
2022-12-27,0.0014125951480845247,0.0,0.0014125951480845247,0.0,-0.004324998940608333,0.005737594088692857,0.5,-0.5,1.0,-0.18058594189523758,-0.2024307166262862,-0.21357785752166436
2022-12-28,-0.0007604979658277656,0.0,-0.0007604979658277656,0.0,-0.006125003277930086,0.00536450531210232,0.5,-0.5,1.0,-0.18120910461959694,-0.20303726644389863,-0.21417592996130108
2022-12-29,-0.013107860541434879,0.0,-0.013107860541434879,0.0,0.0073596905947288065,-0.020467551136163685,0.5,-0.5,1.0,-0.19194170148883982,-0.21348374281207272,-0.22447640228147103
2022-12-30,-0.004545299946264509,0.0,-0.004545299946264509,0.0,0.0031610605058500045,-0.007706360452114513,0.5,-0.5,1.0,-0.19561456882964123,-0.2170586951136052,-0.2280013896485079
2023-01-03,0.004298960932531919,0.0,0.004298960932531919,0.0,-0.006154627638690411,0.010453588571222331,0.5,-0.5,1.0,-0.19215654728634202,-0.21369286103143303,-0.224682597782638
2023-01-04,-0.0028906312164139916,0.0,-0.0028906312164139916,0.0,0.004838813715805337,-0.007729444932219327,0.5,-0.5,1.0,-0.19449172478873178,-0.21596578499302477,-0.22692375446811652
2023-01-05,0.005575309993478723,0.00046428571428571433,0.0051110242791930095,0.9285714285714286,0.0005229115895687964,0.005052398403909927,0.49999999999999994,-0.5,0.9999999999999999,-0.1900007664521165,-0.21195856708440608,-0.22297254300753566
2023-01-06,-0.0019745213028264305,0.0,-0.0019745213028264305,0.0,0.003685437859323746,-0.005659959162150177,0.49999999999999994,-0.5,0.9999999999999999,-0.19160012719402986,-0.2135145716812078,-0.2245068002742483
2023-01-09,-0.005955589349704276,0.0,-0.005955589349704276,0.0,-0.001260983816282496,-0.00469460553342178,0.49999999999999994,-0.5,0.9999999999999999,-0.19641462486681538,-0.21819855592180082,-0.2291253193153031
