date,ticker,score,rank,decile,target_weight,lagged_beta,lagged_adv,execution_return_available
2018-03-01,CF,-0.03300036982981227,0.28823529411764703,3,0.0,,129466791.64777756,True
2018-03-01,AMG,-0.0329455053385013,0.29411764705882354,3,0.0,,100393275.94032288,True
2018-03-01,BBY,-0.032631591808758145,0.3,3,0.0,,252289300.9644699,True
2018-03-01,JLL,-0.03248845245517906,0.3058823529411765,4,0.0,,61564609.272994995,True
2018-03-01,IRT,-0.032453618546920956,0.31176470588235294,4,0.0,,6675199.758725166,True
2018-03-01,RF,-0.0322331585861496,0.3176470588235294,4,0.0,,240956836.71725273,True
2018-03-01,ORLY,-0.031988409928164166,0.3235294117647059,4,0.0,,302662475.16174316,True
2018-03-01,DHC,-0.031613049095270906,0.32941176470588235,4,0.0,,28054877.500982285,True
2018-03-01,HAIN,-0.031599020852589074,0.3352941176470588,4,0.0,,51679982.38893509,True
2018-03-01,CVLG,-0.03109584031864643,0.3411764705882353,4,0.0,,5306739.527139664,True
2018-03-01,HASI,-0.030715419853394616,0.34705882352941175,4,0.0,,12985591.749944687,True
2018-03-01,RHP,-0.030527599288350155,0.35294117647058826,4,0.0,,25589087.58869171,True
2018-03-01,SBRA,-0.0303820812991178,0.3588235294117647,4,0.0,,46738840.65519333,True
2018-03-01,FIS,-0.030360462849149682,0.36470588235294116,4,0.0,,200364577.62649536,True
