strategy_id,signal_date,rebalance_date,execution_date,ticker,action,previous_weight,target_weight,delta_weight,simulated_execution_price,turnover_contribution,estimated_transaction_cost,execution_convention,run_id,record_status
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,CAT,SELL,0.05,0.0,-0.05,146.2100067138672,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,HD,BUY,0.0,0.05,0.05,175.6999969482422,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,LLY,SELL,0.05,0.0,-0.05,77.45999908447266,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,TGT,BUY,0.0,0.05,0.05,69.2300033569336,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-04-27,2018-04-27,2018-04-27,AAPL,SELL,0.0,-0.05,-0.05,41.0,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-04-27,2018-04-27,2018-04-27,AXP,COVER,-0.05,0.0,0.05,99.98999786376952,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-04-27,2018-04-27,2018-04-27,LLY,BUY,0.0,0.05,0.05,82.5,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-04-27,2018-04-27,2018-04-27,WMT,SELL,0.05,0.0,-0.05,29.290000915527344,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-06-25,2018-06-25,2018-06-25,MCD,SELL,0.0,-0.05,-0.05,163.0,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-06-25,2018-06-25,2018-06-25,ORCL,COVER,-0.05,0.0,0.05,43.56999969482422,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
