date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2020-06-01,0.0015734524195389042,0.0003,0.0012734524195389043,0.6,0.0099901624928476,-0.008416710073308693,0.5,-0.5,1.0,0.07817446922591231,-0.024183104329416505,-0.06833225413939803
2020-06-02,0.0022059173960228672,0.0002857142857142857,0.0019202031103085816,0.5714285714285714,0.0014008758196591817,0.0008050415763636854,0.5,-0.5,1.0,0.08055283304352545,-0.022309337691258313,-0.06654326283602241
2020-06-03,-0.011723723492757878,0.00025714285714285715,-0.011980866349900735,0.5142857142857143,-8.112691384636246e-05,-0.011642596578911516,0.5,-0.5,1.0,0.06788473040960707,-0.0340229188479253,-0.0777268832473984
2020-06-04,-0.012237892178309234,0.00017142857142857145,-0.012409320749737805,0.34285714285714286,-0.002599984993850059,-0.009637907184459175,0.5,-0.5,1.0,0.05481607221999152,-0.04601003828483685,-0.08917166617204186
2020-06-05,0.004204227971804628,0.0002571428571428571,0.003947085114661771,0.5142857142857142,0.001391390439563372,0.002812837532241255,0.49999999999999994,-0.5,1.0,0.05925075945592795,-0.04224455870741428,-0.08557654921357738
2020-06-08,-0.0024275837371897893,0.0003428571428571429,-0.0027704408800469323,0.6857142857142857,0.003667466564524625,-0.006095050301714413,0.5,-0.5,0.9999999999999999,0.056679339538666884,-0.044897963535058705,-0.08810990532330976
2020-06-09,0.0035082750297541995,0.00018055555555555555,0.0033277194741986437,0.3611111111111111,0.0017980051572930988,0.001710269872461101,0.5,-0.5,1.0,0.06038646128002756,-0.04171965188846749,-0.08507539089692528
2020-06-10,0.0010200589442137028,0.0003888888888888888,0.000631170055324814,0.7777777777777777,-0.013831880330454523,0.014851939274668227,0.5,-0.49999999999999994,0.9999999999999999,0.06146811797417939,-0.04111481402813333,-0.08449791788077965
2020-06-11,-0.008744611159711898,0.0001527777777777778,-0.008897388937489675,0.3055555555555556,-0.01968082337395314,0.010936212214241244,0.5,-0.5,0.9999999999999999,0.05218599202406393,-0.04964638847412217,-0.09264349597847599
2020-06-12,-0.0070388067052064825,0.0002777777777777778,-0.00731658448298426,0.5555555555555556,-0.013228295485991713,0.0061894887807852315,0.5,-0.5,0.9999999999999999,0.044779858208280565,-0.05659973096156046,-0.09928224649633477
2020-06-15,-0.009735059466417234,0.0005138888888888888,-0.010248948355306122,1.0277777777777777,0.01777572719224286,-0.027510786658660094,0.5,-0.5,1.0,0.03460886415930786,-0.06626859159731735,-0.10851365623470122
2020-06-16,-0.002569361545006846,0.0005138888888888889,-0.003083250433895735,1.027777777777778,-0.01295380631686369,0.010384444771856842,0.5,-0.5,1.0,0.03195057992961381,-0.06914751936741703,-0.11126233189092771
2020-06-17,0.010938582865074419,0.0004861111111111111,0.010452471753963308,0.9722222222222222,-0.0001708407640927975,0.011109423629167215,0.5,-0.5,1.0,0.04323865686083539,-0.05941781010649827,-0.10197282651833439
2020-06-18,0.0015824527081611671,0.0003611111111111111,0.001221341597050056,0.7222222222222222,0.006534004846601004,-0.004951552138439837,0.5,-0.5,0.9999999999999999,0.04488953269864315,-0.058269037952536795,-0.1008760285760798
2020-06-19,0.00571247963517056,0.0001666666666666667,0.005545812968503893,0.33333333333333337,-0.010252489022181413,0.015964968657351974,0.5,-0.5,1.0,0.05085844287518704,-0.05304637417037228,-0.09588965519506432
2020-06-22,0.008131928938374201,0.0003055555555555556,0.007826373382818646,0.6111111111111112,0.010342595077246053,-0.0022106661388718537,0.5,-0.5,1.0,0.059403949056938465,-0.045635161518415734,-0.08881375005735204
2020-06-23,0.004026780820038692,0.0003108108108108108,0.0037159700092278813,0.6216216216216216,-0.0029944729438497702,0.007021253763888461,0.5,-0.5,1.0,0.06366993655967423,-0.042088770400756426,-0.08542780927974425
2020-06-24,0.00801960902086719,0.00028378378378378377,0.007735825237083407,0.5675675675675675,-0.0019723141983653087,0.009991923219232497,0.5,-0.5,1.0,0.07220015357813359,-0.034678536535937,-0.0783528386456358
2020-06-25,0.004205417084445905,0.00032432432432432436,0.0038810927601215803,0.6486486486486487,0.012652354830964555,-0.008446937746518649,0.5,-0.5,1.0,0.07670920242193646,-0.0309320343928966,-0.07477584052031672
2020-06-26,-0.0006305898815738215,0.00014864864864864866,-0.0007792385302224701,0.2972972972972973,-0.010462916544758564,0.009832326663184744,0.5,-0.5,1.0,0.07603024049349183,-0.031687169490101974,-0.07549681083447601
2020-06-29,0.0019670097560870784,0.00021621621621621624,0.001750793539870862,0.43243243243243246,0.009468748748711543,-0.007501738992624465,0.5,-0.5,1.0,0.07814680247438721,-0.02999185364187118,-0.07387819662329498
2020-06-30,-0.001646915716759222,0.00036486486486486485,-0.002011780581624087,0.7297297297297297,0.006427966435423481,-0.008074882152182702,0.5,-0.5,1.0,0.07637118556041833,-0.03194329719473166,-0.07574135048354691
2020-07-01,-0.0035072417751429155,0.00028378378378378377,-0.003791025558926699,0.5675675675675675,-0.0023644605380114935,-0.001142781237131422,0.5,-0.5,1.0,0.07259609157286073,-0.035613224897556806,-0.0792452386469229
2020-07-02,0.009485675956985993,0.00020270270270270272,0.00928297325428329,0.40540540540540543,-0.0005192875726748428,0.010004963529660838,0.5,-0.5,1.0,0.08277039053025037,-0.02666084825749615,-0.07069789682352823
2020-07-06,0.0034221739577112945,0.0002567567567567568,0.003165417200954538,0.5135135135135136,-0.0041163352142152875,0.007538509171926582,0.5,-0.5,1.0,0.08647581916290403,-0.023579823764207974,-0.06775626796125023
